Airport Name,Flight Date,Origin State,Phase of flight,Time of day
MEMPHIS INTL,22-09-01,Tennessee,Take-off run,Night
DALLAS/FORT WORTH INTL ARPT,22-09-01,Texas,Approach,Day
DENVER INTL AIRPORT,22-09-01,Colorado,Approach,Night
ORLANDO INTL,23-09-01,Florida,Descent,Night
MINNEAPOLIS-ST PAUL INTL,23-09-01,Minnesota,Approach,Night
DALLAS/FORT WORTH INTL ARPT,24-09-01,Texas,Approach,Day
DETROIT METRO WAYNE COUNTY ARPT,24-09-01,Michigan,Take-off run,Day
KANSAS CITY INTL,24-09-01,Missouri,Approach,Night
LAMBERT-ST LOUIS INTL,24-09-01,Missouri,Approach,Night
DALLAS/FORT WORTH INTL ARPT,24-09-01,Texas,Approach,Day
DALLAS/FORT WORTH INTL ARPT,24-09-01,Texas,Landing Roll,Day
WASHINGTON DULLES INTL ARPT,25-09-01,DC,Approach,Night
GREATER PITTSBURGH,25-09-01,Pennsylvania,Approach,Day
MEMPHIS INTL,25-09-01,Tennessee,Approach,Day
PHILADELPHIA INTL,25-09-01,Pennsylvania,Climb,Day
KANSAS CITY INTL,25-09-01,Missouri,Landing Roll,Day
CHARLOTTE/DOUGLAS INTL ARPT,25-09-01,North Carolina,Approach,Night
NASHVILLE INTL,26-09-01,Tennessee,Approach,Day
PORTLAND INTL (OR),26-09-01,Oregon,Approach,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,26-09-01,Kentucky,Take-off run,Day
BALTIMORE WASH INTL,27-09-01,Maryland,Approach,Night
WILL ROGERS WORLD ARPT,27-09-01,Oklahoma,Climb,Dawn
DALLAS/FORT WORTH INTL ARPT,27-09-01,Texas,Landing Roll,Day
JOHN F KENNEDY INTL,28-09-01,New York,Approach,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,28-09-01,Kentucky,Approach,Day
GREATER PITTSBURGH,28-09-01,Pennsylvania,Approach,Day
CHARLESTON AFB/INTL ARPT,28-09-01,South Carolina,Taxi,Day
MEMPHIS INTL,28-09-01,Tennessee,Approach,Night
METRO OAKLAND INTL,29-09-01,California,Approach,Night
ATLANTA INTL,29-09-01,Georgia,Approach,Night
ATLANTA INTL,29-09-01,Georgia,Approach,Night
BALTIMORE WASH INTL,29-09-01,Maryland,Approach,Night
GREATER PITTSBURGH,29-09-01,Pennsylvania,Approach,Day
DALLAS/FORT WORTH INTL ARPT,29-09-01,Texas,Landing Roll,Day
TETERBORO AIRPORT,29-09-01,New Jersey,Landing Roll,Dusk
ORLANDO INTL,29-09-01,Florida,Approach,Night
LOS ANGELES INTL,30-09-01,California,Climb,Night
DALLAS/FORT WORTH INTL ARPT,30-09-01,Texas,Approach,Day
LIHUE ARPT,30-09-01,Hawaii,Landing Roll,Day
LAMBERT-ST LOUIS INTL,01-10-01,Missouri,Descent,Night
CHARLESTON AFB/INTL ARPT,01-10-01,South Carolina,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,01-10-01,Louisiana,Approach,Night
BALTIMORE WASH INTL,01-10-01,Maryland,Approach,Night
EPPLEY AIRFIELD,01-10-01,Nebraska,Climb,Night
ATLANTIC CITY INTL,02-10-01,New Jersey,Approach,Day
WASHINGTON DULLES INTL ARPT,02-10-01,DC,Taxi,Night
DENVER INTL AIRPORT,02-10-01,Colorado,Approach,Night
DALLAS/FORT WORTH INTL ARPT,02-10-01,Texas,Approach,Night
JOHN F KENNEDY INTL,02-10-01,New York,Approach,Day
ATLANTIC CITY INTL,02-10-01,New Jersey,Approach,Dusk
SALT LAKE CITY INTL,02-10-01,Utah,Approach,Night
JOHN F KENNEDY INTL,03-10-01,New York,Take-off run,Day
HONOLULU INTL ARPT,03-10-01,Hawaii,Taxi,Day
LAMBERT-ST LOUIS INTL,03-10-01,Missouri,Approach,Night
CHICAGO O'HARE INTL ARPT,03-10-01,Illinois,Climb,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,03-10-01,Kentucky,Landing Roll,Night
LOGAN INTL,03-10-01,Massachusetts,Landing Roll,Night
PORTLAND INTL (OR),03-10-01,Oregon,Landing Roll,Night
INDIANAPOLIS INTL,04-10-01,Indiana,Approach,Night
CHARLOTTE/DOUGLAS INTL ARPT,04-10-01,North Carolina,Approach,Day
INDIANAPOLIS INTL,04-10-01,Indiana,Approach,Night
MEMPHIS INTL,04-10-01,Tennessee,Approach,Night
CHICAGO O'HARE INTL ARPT,05-10-01,Illinois,Climb,Night
LOS ANGELES INTL,05-10-01,California,Climb,Day
KANSAS CITY INTL,05-10-01,Missouri,Approach,Dawn
KANSAS CITY INTL,05-10-01,Missouri,Approach,Dawn
CHARLOTTE/DOUGLAS INTL ARPT,05-10-01,North Carolina,Approach,Day
DALLAS/FORT WORTH INTL ARPT,05-10-01,Texas,Climb,Day
PORT COLUMBUS INTL,05-10-01,Ohio,Approach,Night
WASHINGTON DULLES INTL ARPT,06-10-01,DC,Descent,Night
NASHVILLE INTL,06-10-01,Tennessee,Descent,Night
CHARLOTTE/DOUGLAS INTL ARPT,06-10-01,North Carolina,Take-off run,Dusk
JOHN F KENNEDY INTL,06-10-01,New York,Approach,Night
MEMPHIS INTL,06-10-01,Tennessee,Approach,Night
MEMPHIS INTL,06-10-01,Tennessee,Approach,Night
CHARLESTON AFB/INTL ARPT,07-10-01,South Carolina,Approach,Night
CHARLESTON AFB/INTL ARPT,07-10-01,South Carolina,Approach,Night
ATLANTA INTL,07-10-01,Georgia,Climb,Night
ATLANTA INTL,08-10-01,Georgia,Climb,Day
PORT COLUMBUS INTL,08-10-01,Ohio,Approach,Day
FORT LAUDERDALE/HOLLYWOOD INTL,08-10-01,Florida,Approach,Night
LOGAN INTL,08-10-01,Massachusetts,Approach,Night
ATLANTA INTL,09-10-01,Georgia,Approach,Night
SACRAMENTO INTL,10-10-01,California,Approach,Night
DALLAS/FORT WORTH INTL ARPT,10-10-01,Texas,Take-off run,Day
EPPLEY AIRFIELD,10-10-01,Nebraska,Approach,Night
LAMBERT-ST LOUIS INTL,11-10-01,Missouri,Approach,Day
SACRAMENTO INTL,11-10-01,California,Approach,Night
GREATER PITTSBURGH,11-10-01,Pennsylvania,Approach,Night
TETERBORO AIRPORT,12-10-01,New Jersey,Approach,Day
PORT COLUMBUS INTL,12-10-01,Ohio,Landing Roll,Day
ATLANTA INTL,13-10-01,Georgia,Approach,Day
CHARLESTON AFB/INTL ARPT,13-10-01,South Carolina,Climb,Day
DENVER INTL AIRPORT,13-10-01,Colorado,Landing Roll,Day
LIHUE ARPT,13-10-01,Hawaii,Landing Roll,Day
GREATER PITTSBURGH,13-10-01,Pennsylvania,Climb,Dusk
LIHUE ARPT,14-10-01,Hawaii,Landing Roll,Day
LIHUE ARPT,14-10-01,Hawaii,Landing Roll,Night
ORLANDO INTL,15-10-01,Florida,Approach,Night
LOS ANGELES INTL,15-10-01,California,Landing Roll,Dawn
BALTIMORE WASH INTL,15-10-01,Maryland,Approach,Day
CHARLOTTE/DOUGLAS INTL ARPT,15-10-01,North Carolina,Climb,Day
FORT LAUDERDALE/HOLLYWOOD INTL,15-10-01,Florida,Descent,Day
ATLANTA INTL,15-10-01,Georgia,Approach,Night
INDIANAPOLIS INTL,16-10-01,Indiana,Climb,Dawn
MEMPHIS INTL,16-10-01,Tennessee,Approach,Night
DENVER INTL AIRPORT,16-10-01,Colorado,Climb,Night
ATLANTA INTL,17-10-01,Georgia,Approach,Night
MEMPHIS INTL,17-10-01,Tennessee,Approach,Night
LOGAN INTL,17-10-01,Massachusetts,Approach,Day
GREATER PITTSBURGH,18-10-01,Pennsylvania,Approach,Day
PORTLAND INTL (OR),18-10-01,Oregon,Landing Roll,Day
LOUISVILLE INTL ARPT,18-10-01,Kentucky,Approach,Night
BALTIMORE WASH INTL,18-10-01,Maryland,Approach,Night
PORTLAND INTL (OR),18-10-01,Oregon,Approach,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,18-10-01,Kentucky,Take-off run,Dawn
LOS ANGELES INTL,19-10-01,California,Approach,Night
LAMBERT-ST LOUIS INTL,19-10-01,Missouri,Approach,Night
LOGAN INTL,19-10-01,Massachusetts,Landing Roll,Night
INDIANAPOLIS INTL,20-10-01,Indiana,Approach,Night
BALTIMORE WASH INTL,20-10-01,Maryland,Approach,Night
PORTLAND INTL (OR),20-10-01,Oregon,Take-off run,Night
DENVER INTL AIRPORT,21-10-01,Colorado,Approach,Day
DENVER INTL AIRPORT,21-10-01,Colorado,Take-off run,Day
PHOENIX SKY HARBOR,22-10-01,Arizona,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,22-10-01,Louisiana,Approach,Day
ORLANDO INTL,22-10-01,Florida,Climb,Day
NASHVILLE INTL,22-10-01,Tennessee,Approach,Night
LAMBERT-ST LOUIS INTL,23-10-01,Missouri,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,23-10-01,Louisiana,Approach,Day
GREATER PITTSBURGH,23-10-01,Pennsylvania,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,24-10-01,Louisiana,Approach,Night
DALLAS/FORT WORTH INTL ARPT,24-10-01,Texas,Approach,Night
PHOENIX SKY HARBOR,24-10-01,Arizona,Approach,Day
GREATER PITTSBURGH,24-10-01,Pennsylvania,Climb,Day
LIHUE ARPT,24-10-01,Hawaii,Landing Roll,Day
INDIANAPOLIS INTL,24-10-01,Indiana,Landing Roll,Day
SACRAMENTO INTL,24-10-01,California,Approach,Night
WILL ROGERS WORLD ARPT,24-10-01,Oklahoma,Approach,Night
ORLANDO INTL,25-10-01,Florida,Climb,Day
MEMPHIS INTL,25-10-01,Tennessee,Approach,Night
NASHVILLE INTL,25-10-01,Tennessee,Take-off run,Night
WASHINGTON DULLES INTL ARPT,25-10-01,DC,Take-off run,Day
LIHUE ARPT,25-10-01,Hawaii,Landing Roll,Dusk
LAMBERT-ST LOUIS INTL,25-10-01,Missouri,Descent,Night
WASHINGTON DULLES INTL ARPT,25-10-01,DC,Approach,Night
EPPLEY AIRFIELD,26-10-01,Nebraska,Approach,Night
CHICAGO O'HARE INTL ARPT,26-10-01,Illinois,Approach,Night
HOUSTON-HOBBY,26-10-01,Texas,Approach,Night
DALLAS/FORT WORTH INTL ARPT,26-10-01,Texas,Landing Roll,Day
INDIANAPOLIS INTL,26-10-01,Indiana,Approach,Day
MEMPHIS INTL,27-10-01,Tennessee,Approach,Night
PHILADELPHIA INTL,27-10-01,Pennsylvania,Landing Roll,Night
HONOLULU INTL ARPT,27-10-01,Hawaii,Climb,Day
LAGUARDIA NY,27-10-01,New York,Approach,Night
LOGAN INTL,27-10-01,Massachusetts,Climb,Night
BALTIMORE WASH INTL,28-10-01,Maryland,Take-off run,Dusk
DETROIT METRO WAYNE COUNTY ARPT,28-10-01,Michigan,Approach,Day
GREATER PITTSBURGH,28-10-01,Pennsylvania,Approach,Night
TETERBORO AIRPORT,28-10-01,New Jersey,Approach,Night
PHILADELPHIA INTL,28-10-01,Pennsylvania,Descent,Night
ATLANTA INTL,29-10-01,Georgia,Approach,Dusk
CLEVELAND-HOPKINS INTL ARPT,29-10-01,Ohio,Approach,Night
MINETA SAN JOSE INTL,29-10-01,California,Landing Roll,Night
NEW ORLEANS INTL,30-10-01,Louisiana,Approach,Night
LAGUARDIA NY,30-10-01,New York,Descent,Night
TETERBORO AIRPORT,30-10-01,New Jersey,Approach,Night
MEMPHIS INTL,30-10-01,Tennessee,Approach,Night
NEWARK LIBERTY INTL ARPT,31-10-01,New Jersey,Approach,Night
KANSAS CITY INTL,01-11-01,Missouri,Descent,Night
EPPLEY AIRFIELD,01-11-01,Nebraska,Climb,Day
DALLAS/FORT WORTH INTL ARPT,02-11-01,Texas,Climb,Day
METRO OAKLAND INTL,02-11-01,California,Descent,Night
INDIANAPOLIS INTL,02-11-01,Indiana,Approach,Night
ATLANTA INTL,03-11-01,Georgia,Climb,Dawn
LOUISVILLE INTL ARPT,03-11-01,Kentucky,Approach,Night
BALTIMORE WASH INTL,03-11-01,Maryland,Descent,Night
MEMPHIS INTL,04-11-01,Tennessee,Climb,Night
DENVER INTL AIRPORT,04-11-01,Colorado,Approach,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,04-11-01,Kentucky,Climb,Day
HOUSTON-HOBBY,04-11-01,Texas,Descent,Night
WASHINGTON DULLES INTL ARPT,05-11-01,DC,Approach,Night
WASHINGTON DULLES INTL ARPT,05-11-01,DC,Approach,Night
WASHINGTON DULLES INTL ARPT,05-11-01,DC,Approach,Night
DALLAS/FORT WORTH INTL ARPT,05-11-01,Texas,Climb,Dawn
WASHINGTON DULLES INTL ARPT,05-11-01,DC,Approach,Night
HOUSTON-HOBBY,05-11-01,Texas,Approach,Night
FORT LAUDERDALE/HOLLYWOOD INTL,06-11-01,Florida,Climb,Night
METRO OAKLAND INTL,07-11-01,California,Approach,Night
FORT LAUDERDALE/HOLLYWOOD INTL,07-11-01,Florida,Climb,Dawn
LIHUE ARPT,07-11-01,Hawaii,Landing Roll,Day
HONOLULU INTL ARPT,07-11-01,Hawaii,Landing Roll,Dusk
WASHINGTON DULLES INTL ARPT,08-11-01,DC,Approach,Day
INDIANAPOLIS INTL,08-11-01,Indiana,Approach,Night
SACRAMENTO INTL,08-11-01,California,Climb,Day
RONALD REAGAN WASHINGTON NATL,09-11-01,DC,Approach,Day
DENVER INTL AIRPORT,09-11-01,Colorado,Landing Roll,Day
INDIANAPOLIS INTL,09-11-01,Indiana,Approach,Night
BALTIMORE WASH INTL,09-11-01,Maryland,Landing Roll,Night
SACRAMENTO INTL,09-11-01,California,Landing Roll,Day
NEWARK LIBERTY INTL ARPT,10-11-01,New Jersey,Approach,Night
CHICAGO O'HARE INTL ARPT,11-11-01,Illinois,Approach,Night
PHILADELPHIA INTL,11-11-01,Pennsylvania,Approach,Night
GREATER PITTSBURGH,12-11-01,Pennsylvania,Climb,Day
FORT LAUDERDALE/HOLLYWOOD INTL,13-11-01,Florida,Approach,Night
PORTLAND INTL (OR),13-11-01,Oregon,Climb,Dusk
AUSTIN-BERGSTROM INTL,13-11-01,Texas,Take-off run,Dusk
LOGAN INTL,14-11-01,Massachusetts,Approach,Day
LOGAN INTL,14-11-01,Massachusetts,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,15-11-01,Texas,Landing Roll,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,15-11-01,Kentucky,Landing Roll,Night
BALTIMORE WASH INTL,16-11-01,Maryland,Descent,Night
FORT LAUDERDALE/HOLLYWOOD INTL,16-11-01,Florida,Landing Roll,Day
SACRAMENTO INTL,17-11-01,California,Descent,Night
BALTIMORE WASH INTL,19-11-01,Maryland,Take-off run,Day
SACRAMENTO INTL,19-11-01,California,Approach,Day
CHARLESTON AFB/INTL ARPT,19-11-01,South Carolina,Approach,Night
DALLAS/FORT WORTH INTL ARPT,19-11-01,Texas,Landing Roll,Day
WASHINGTON DULLES INTL ARPT,20-11-01,DC,Climb,Day
KANSAS CITY INTL,20-11-01,Missouri,Take-off run,Day
RONALD REAGAN WASHINGTON NATL,21-11-01,DC,Approach,Day
DALLAS/FORT WORTH INTL ARPT,21-11-01,Texas,Take-off run,Dusk
SACRAMENTO INTL,22-11-01,California,Descent,Night
SAN ANTONIO INTL,25-11-01,Texas,Approach,Day
ORLANDO INTL,25-11-01,Florida,Landing Roll,Day
WILL ROGERS WORLD ARPT,26-11-01,Oklahoma,Approach,Night
WASHINGTON DULLES INTL ARPT,28-11-01,DC,Approach,Night
HONOLULU INTL ARPT,29-11-01,Hawaii,Landing Roll,Day
LOUISVILLE INTL ARPT,30-11-01,Kentucky,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,01-12-01,Texas,Approach,Dawn
DALLAS/FORT WORTH INTL ARPT,01-12-01,Texas,Climb,Day
SAN FRANCISCO INTL ARPT,01-12-01,California,Approach,Night
GREATER PITTSBURGH,03-12-01,Pennsylvania,Approach,Night
DALLAS/FORT WORTH INTL ARPT,04-12-01,Texas,Climb,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,04-12-01,Kentucky,Approach,Night
PORTLAND INTL (OR),04-12-01,Oregon,Take-off run,Dawn
SAN ANTONIO INTL,04-12-01,Texas,Approach,Dusk
TETERBORO AIRPORT,05-12-01,New Jersey,Climb,Day
LOUISVILLE INTL ARPT,05-12-01,Kentucky,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,05-12-01,Texas,Take-off run,Day
SACRAMENTO INTL,06-12-01,California,Approach,Night
MEMPHIS INTL,06-12-01,Tennessee,Approach,Day
HONOLULU INTL ARPT,06-12-01,Hawaii,Taxi,Day
MEMPHIS INTL,08-12-01,Tennessee,Approach,Day
WASHINGTON DULLES INTL ARPT,08-12-01,DC,Climb,Day
NASHVILLE INTL,08-12-01,Tennessee,Approach,Day
WASHINGTON DULLES INTL ARPT,11-12-01,DC,Approach,Night
NASHVILLE INTL,11-12-01,Tennessee,Climb,Dusk
SALT LAKE CITY INTL,11-12-01,Utah,Climb,Day
TETERBORO AIRPORT,12-12-01,New Jersey,Landing Roll,Day
LIHUE ARPT,12-12-01,Hawaii,Climb,Dusk
WILL ROGERS WORLD ARPT,14-12-01,Oklahoma,Take-off run,Day
CHICAGO O'HARE INTL ARPT,14-12-01,Illinois,Approach,Dusk
ORLANDO INTL,15-12-01,Florida,Approach,Day
MEMPHIS INTL,16-12-01,Tennessee,Approach,Day
GEORGE BUSH INTERCONTINENTAL,16-12-01,Texas,Approach,Day
GEORGE BUSH INTERCONTINENTAL,16-12-01,Texas,Approach,Day
NASHVILLE INTL,17-12-01,Tennessee,Approach,Night
DENVER INTL AIRPORT,17-12-01,Colorado,Take-off run,Day
GREATER PITTSBURGH,18-12-01,Pennsylvania,Approach,Night
DALLAS/FORT WORTH INTL ARPT,18-12-01,Texas,Approach,Day
MEMPHIS INTL,19-12-01,Tennessee,Approach,Dawn
MEMPHIS INTL,19-12-01,Tennessee,Climb,Day
SAN FRANCISCO INTL ARPT,19-12-01,California,Approach,Dusk
DALLAS/FORT WORTH INTL ARPT,22-12-01,Texas,Take-off run,Dusk
CHARLOTTE/DOUGLAS INTL ARPT,23-12-01,North Carolina,Approach,Day
FORT LAUDERDALE/HOLLYWOOD INTL,23-12-01,Florida,Climb,Dusk
SACRAMENTO INTL,24-12-01,California,Approach,Night
NEW ORLEANS INTL,24-12-01,Louisiana,Take-off run,Dusk
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,28-12-01,Kentucky,Approach,Dawn
MINETA SAN JOSE INTL,29-12-01,California,Landing Roll,Day
PHOENIX SKY HARBOR,31-12-01,Arizona,Approach,Day
DALLAS/FORT WORTH INTL ARPT,31-12-01,Texas,Approach,Day
DALLAS/FORT WORTH INTL ARPT,01-01-02,Texas,Approach,Day
SACRAMENTO INTL,02-01-02,California,Approach,Day
SACRAMENTO INTL,02-01-02,California,Approach,Day
MINETA SAN JOSE INTL,02-01-02,California,Approach,Dawn
SACRAMENTO INTL,04-01-02,California,Climb,Night
SALT LAKE CITY INTL,04-01-02,Utah,Landing Roll,Day
DENVER INTL AIRPORT,05-01-02,Colorado,Take-off run,Dawn
SACRAMENTO INTL,06-01-02,California,Approach,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,06-01-02,Kentucky,Approach,Dawn
CHARLOTTE/DOUGLAS INTL ARPT,07-01-02,North Carolina,Take-off run,Dusk
SACRAMENTO INTL,08-01-02,California,Approach,Day
NEWARK LIBERTY INTL ARPT,08-01-02,New Jersey,Landing Roll,Day
SACRAMENTO INTL,08-01-02,California,Take-off run,Day
SACRAMENTO INTL,09-01-02,California,Approach,Dusk
SACRAMENTO INTL,10-01-02,California,Approach,Day
LAGUARDIA NY,10-01-02,New York,Approach,Day
SACRAMENTO INTL,10-01-02,California,Landing Roll,Dawn
SACRAMENTO INTL,11-01-02,California,Approach,Night
DENVER INTL AIRPORT,11-01-02,Colorado,Landing Roll,Day
NEW ORLEANS INTL,12-01-02,Louisiana,Approach,Night
SACRAMENTO INTL,13-01-02,California,Approach,Day
TETERBORO AIRPORT,13-01-02,New Jersey,Approach,Night
LIHUE ARPT,13-01-02,Hawaii,Landing Roll,Dawn
NASHVILLE INTL,13-01-02,Tennessee,Climb,Day
SAN FRANCISCO INTL ARPT,14-01-02,California,Landing Roll,Day
HONOLULU INTL ARPT,14-01-02,Hawaii,Approach,Dusk
SAN FRANCISCO INTL ARPT,15-01-02,California,Landing Roll,Day
HONOLULU INTL ARPT,16-01-02,Hawaii,Take-off run,Dusk
BARKSDALE AIR FORCE BASE ARPT,17-01-02,Louisiana,Climb,Day
PORTLAND INTL (OR),18-01-02,Oregon,Landing Roll,Dawn
MEMPHIS INTL,20-01-02,Tennessee,Approach,Day
LAGUARDIA NY,20-01-02,New York,Approach,Day
SACRAMENTO INTL,20-01-02,California,Climb,Day
MEMPHIS INTL,22-01-02,Tennessee,Approach,Night
LOGAN INTL,22-01-02,Massachusetts,Climb,Day
SAN FRANCISCO INTL ARPT,23-01-02,California,Approach,Night
DALLAS/FORT WORTH INTL ARPT,23-01-02,Texas,Take-off run,Day
WASHINGTON DULLES INTL ARPT,23-01-02,DC,Approach,Night
FORT LAUDERDALE/HOLLYWOOD INTL,24-01-02,Florida,Approach,Dusk
CHARLOTTE/DOUGLAS INTL ARPT,26-01-02,North Carolina,Approach,Night
LAGUARDIA NY,27-01-02,New York,Approach,Night
MINNEAPOLIS-ST PAUL INTL,27-01-02,Minnesota,Approach,Day
WASHINGTON DULLES INTL ARPT,28-01-02,DC,Climb,Day
MEMPHIS INTL,29-01-02,Tennessee,Climb,Day
LIHUE ARPT,29-01-02,Hawaii,Landing Roll,Day
CHARLOTTE/DOUGLAS INTL ARPT,29-01-02,North Carolina,Landing Roll,Night
LOUISVILLE INTL ARPT,01-02-02,Kentucky,Approach,Day
DENVER INTL AIRPORT,02-02-02,Colorado,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,04-02-02,Louisiana,Approach,Day
DENVER INTL AIRPORT,05-02-02,Colorado,Landing Roll,Day
PHOENIX SKY HARBOR,05-02-02,Arizona,Approach,Day
AUSTIN-BERGSTROM INTL,06-02-02,Texas,Landing Roll,Day
NASHVILLE INTL,06-02-02,Tennessee,Approach,Dusk
DALLAS/FORT WORTH INTL ARPT,07-02-02,Texas,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,08-02-02,Louisiana,Approach,Day
DALLAS/FORT WORTH INTL ARPT,08-02-02,Texas,Take-off run,Day
JOHN F KENNEDY INTL,09-02-02,New York,Take-off run,Day
NASHVILLE INTL,09-02-02,Tennessee,Climb,Dawn
PHOENIX SKY HARBOR,09-02-02,Arizona,Approach,Day
DALLAS/FORT WORTH INTL ARPT,10-02-02,Texas,Climb,Day
NASHVILLE INTL,12-02-02,Tennessee,Take-off run,Dusk
BARKSDALE AIR FORCE BASE ARPT,14-02-02,Louisiana,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,14-02-02,Louisiana,Approach,Day
NASHVILLE INTL,14-02-02,Tennessee,Approach,Dusk
BALTIMORE WASH INTL,15-02-02,Maryland,Take-off run,Day
HONOLULU INTL ARPT,15-02-02,Hawaii,Climb,Day
NASHVILLE INTL,17-02-02,Tennessee,Approach,Dusk
METRO OAKLAND INTL,18-02-02,California,Approach,Night
CHARLESTON AFB/INTL ARPT,19-02-02,South Carolina,Approach,Day
LOUISVILLE INTL ARPT,20-02-02,Kentucky,Climb,Day
RONALD REAGAN WASHINGTON NATL,21-02-02,DC,Approach,Day
JOHN F KENNEDY INTL,21-02-02,New York,Approach,Day
PHOENIX SKY HARBOR,21-02-02,Arizona,Climb,Day
LIHUE ARPT,21-02-02,Hawaii,Landing Roll,Day
NASHVILLE INTL,22-02-02,Tennessee,Climb,Dusk
PHILADELPHIA INTL,24-02-02,Pennsylvania,Climb,Dawn
METRO OAKLAND INTL,24-02-02,California,Take-off run,Day
NASHVILLE INTL,26-02-02,Tennessee,Take-off run,Day
METRO OAKLAND INTL,28-02-02,California,Approach,Night
ATLANTA INTL,01-03-02,Georgia,Approach,Day
LIHUE ARPT,02-03-02,Hawaii,Climb,Night
SAN FRANCISCO INTL ARPT,03-03-02,California,Descent,Night
LAGUARDIA NY,03-03-02,New York,Approach,Day
DALLAS/FORT WORTH INTL ARPT,06-03-02,Texas,Approach,Day
DALLAS/FORT WORTH INTL ARPT,06-03-02,Texas,Take-off run,Day
SAN FRANCISCO INTL ARPT,07-03-02,California,Take-off run,Day
CHARLESTON AFB/INTL ARPT,07-03-02,South Carolina,Approach,Day
SAN FRANCISCO INTL ARPT,09-03-02,California,Approach,Night
AUSTIN-BERGSTROM INTL,09-03-02,Texas,Climb,Day
ORLANDO INTL,11-03-02,Florida,Approach,Night
GREATER PITTSBURGH,11-03-02,Pennsylvania,Take-off run,Day
PHOENIX SKY HARBOR,11-03-02,Arizona,Descent,Night
PHOENIX SKY HARBOR,11-03-02,Arizona,Descent,Night
FORT LAUDERDALE/HOLLYWOOD INTL,12-03-02,Florida,Approach,Day
LOUISVILLE INTL ARPT,14-03-02,Kentucky,Climb,Day
DALLAS/FORT WORTH INTL ARPT,14-03-02,Texas,Climb,Night
WASHINGTON DULLES INTL ARPT,14-03-02,DC,Approach,Night
SAN ANTONIO INTL,14-03-02,Texas,Approach,Night
ATLANTA INTL,15-03-02,Georgia,Climb,Night
BALTIMORE WASH INTL,15-03-02,Maryland,Climb,Day
HONOLULU INTL ARPT,15-03-02,Hawaii,Take-off run,Night
GREATER PITTSBURGH,16-03-02,Pennsylvania,Landing Roll,Day
ORLANDO INTL,16-03-02,Florida,Take-off run,Night
NEW ORLEANS INTL,16-03-02,Louisiana,Climb,Day
KANSAS CITY INTL,18-03-02,Missouri,Take-off run,Day
BALTIMORE WASH INTL,19-03-02,Maryland,Landing Roll,Day
CHARLOTTE/DOUGLAS INTL ARPT,21-03-02,North Carolina,Approach,Night
CHARLESTON AFB/INTL ARPT,21-03-02,South Carolina,Take-off run,Day
CHARLESTON AFB/INTL ARPT,21-03-02,South Carolina,Take-off run,Day
RONALD REAGAN WASHINGTON NATL,21-03-02,DC,Approach,Night
SAN FRANCISCO INTL ARPT,22-03-02,California,Approach,Night
PHOENIX SKY HARBOR,22-03-02,Arizona,Descent,Night
DALLAS/FORT WORTH INTL ARPT,23-03-02,Texas,Climb,Night
PORTLAND INTL (OR),25-03-02,Oregon,Approach,Day
LOS ANGELES INTL,25-03-02,California,Approach,Night
GREATER PITTSBURGH,25-03-02,Pennsylvania,Landing Roll,Night
RONALD REAGAN WASHINGTON NATL,26-03-02,DC,Approach,Day
LAMBERT-ST LOUIS INTL,27-03-02,Missouri,Climb,Night
LAMBERT-ST LOUIS INTL,27-03-02,Missouri,Approach,Night
SALT LAKE CITY INTL,27-03-02,Utah,Approach,Night
WILL ROGERS WORLD ARPT,27-03-02,Oklahoma,Approach,Night
MINNEAPOLIS-ST PAUL INTL,28-03-02,Minnesota,Approach,Day
INDIANAPOLIS INTL,28-03-02,Indiana,Landing Roll,Day
CHICAGO MIDWAY INTL ARPT,28-03-02,Illinois,Approach,Dusk
CHICAGO MIDWAY INTL ARPT,28-03-02,Illinois,Approach,Night
BALTIMORE WASH INTL,28-03-02,Maryland,Approach,Night
DALLAS/FORT WORTH INTL ARPT,28-03-02,Texas,Approach,Night
HOUSTON-HOBBY,29-03-02,Texas,Approach,Dusk
ATLANTA INTL,29-03-02,Georgia,Climb,Night
WASHINGTON DULLES INTL ARPT,29-03-02,DC,Approach,Night
CHARLOTTE/DOUGLAS INTL ARPT,29-03-02,North Carolina,Approach,Night
SAN FRANCISCO INTL ARPT,30-03-02,California,Approach,Dusk
LIHUE ARPT,30-03-02,Hawaii,Approach,Night
